OutcomeType;AnimalType;SexuponOutcome;Neutered;Mix
Transfer;Dog;Male;1;1
Adoption;Cat;Female;1;1
Transfer;Cat;Female;0;1
Transfer;Cat;Male;0;1
Adoption;Cat;Female;1;1
Return_to_owner;Dog;Male;1;0
Transfer;Cat;Male;0;1
Adoption;Dog;Male;1;1
Transfer;Dog;Female;0;1
Transfer;Cat;Female;0;1
Transfer;Cat;Female;1;1
Adoption;Dog;Male;1;1
Transfer;Cat;Female;0;1
Adoption;Cat;Male;1;1
Transfer;Cat;Unknown;0;1
Adoption;Dog;Female;1;1
Adoption;Dog;Female;1;0
Transfer;Dog;Female;1;1
Adoption;Cat;Male;1;1
Adoption;Cat;Male;1;1
Return_to_owner;Dog;Male;0;1
Adoption;Dog;Male;0;1
Adoption;Cat;Female;1;1
Adoption;Dog;Female;1;1
Transfer;Cat;Female;0;1
Adoption;Dog;Male;1;1
Adoption;Dog;Female;1;1
Transfer;Cat;Female;1;1
Transfer;Dog;Male;1;0
Transfer;Dog;Female;0;0
Adoption;Dog;Male;1;1
Adoption;Dog;Male;1;1
Died;Cat;Female;1;1
Adoption;Dog;Male;1;0
Euthanasia;Dog;Male;1;1
Return_to_owner;Cat;Female;1;1
Return_to_owner;Dog;Female;1;1
Adoption;Dog;Female;1;0
Euthanasia;Cat;Female;0;1
Transfer;Dog;Male;1;0
Adoption;Dog;Female;1;1
Transfer;Cat;Male;1;1
Adoption;Dog;Male;1;1
Transfer;Cat;Female;0;1
Transfer;Dog;Male;1;1
Adoption;Dog;Male;1;1
Adoption;Dog;Female;1;1
Return_to_owner;Cat;Male;1;1
Transfer;Dog;Female;1;1
Return_to_owner;Dog;Male;0;1
Return_to_owner;Dog;Female;1;1
Return_to_owner;Dog;Male;1;1
Adoption;Dog;Female;1;1
Adoption;Cat;Male;1;1
Adoption;Dog;Female;1;1
Adoption;Dog;Female;1;1
Transfer;Cat;Female;1;0
Transfer;Cat;Male;0;1
Adoption;Dog;Female;1;1
Transfer;Dog;Male;1;1
Transfer;Dog;Female;1;1
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Male;1;1
Euthanasia;Dog;Male;0;1
Euthanasia;Dog;Male;0;1
Adoption;Dog;Female;1;1
Adoption;Dog;Male;1;0
Return_to_owner;Dog;Male;1;0
Return_to_owner;Dog;Male;1;1
Transfer;Cat;Female;0;1
Euthanasia;Dog;Male;1;1
Transfer;Dog;Female;0;1
Return_to_owner;Dog;Female;1;1
Return_to_owner;Dog;Male;1;1
Adoption;Cat;Male;1;1
Transfer;Cat;Female;0;1
Adoption;Dog;Female;1;0
Transfer;Cat;Female;0;1
Adoption;Cat;Female;1;1
Adoption;Dog;Male;1;0
Adoption;Cat;Female;1;1
Transfer;Cat;Female;0;1
Transfer;Cat;Unknown;0;1
Transfer;Dog;Male;0;1
Adoption;Cat;Male;1;1
Adoption;Dog;Female;1;1
Adoption;Dog;Male;1;1
Transfer;Cat;Male;1;1
Transfer;Dog;Male;1;1
Transfer;Dog;Female;0;1
Return_to_owner;Dog;Male;0;0
Adoption;Cat;Female;1;1
Return_to_owner;Dog;Female;0;1
Transfer;Cat;Male;0;1
Adoption;Dog;Female;1;0
Return_to_owner;Dog;Male;1;0
Transfer;Dog;Male;0;1
Transfer;Cat;Female;0;1
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Male;1;1
Adoption;Cat;Male;1;1
Transfer;Cat;Female;1;1
Adoption;Dog;Female;1;1
Return_to_owner;Dog;Female;0;0
Transfer;Cat;Female;0;1
Transfer;Dog;Female;0;0
Adoption;Dog;Female;1;0
Return_to_owner;Cat;Male;1;1
Return_to_owner;Dog;Female;1;0
Transfer;Cat;Female;0;1
Adoption;Dog;Male;1;1
Transfer;Cat;Female;0;1
Euthanasia;Dog;Male;1;0
Transfer;Cat;Female;0;1
Transfer;Cat;Unknown;0;1
Adoption;Dog;Female;1;1
Adoption;Cat;Male;0;1
Transfer;Dog;Female;0;1
Transfer;Cat;Female;1;1
Return_to_owner;Cat;Male;1;1
Adoption;Dog;Male;1;1
Adoption;Dog;Male;1;1
Transfer;Dog;Female;0;1
Adoption;Dog;Female;1;1
Adoption;Dog;Female;1;0
Transfer;Cat;Male;0;1
Transfer;Cat;Male;0;1
Transfer;Dog;Female;1;1
Adoption;Cat;Male;1;1
Transfer;Cat;Male;0;1
Return_to_owner;Dog;Female;1;1
Adoption;Cat;Female;1;1
Return_to_owner;Dog;Female;1;1
Transfer;Dog;Male;0;1
Adoption;Cat;Male;0;1
Transfer;Cat;Female;0;1
Adoption;Cat;Male;1;1
Adoption;Dog;Female;1;0
Transfer;Cat;Male;0;1
Adoption;Dog;Female;1;1
Euthanasia;Cat;Male;0;1
Transfer;Cat;Female;1;1
Return_to_owner;Dog;Female;1;1
Adoption;Cat;Female;1;1
Transfer;Cat;Male;0;1
Transfer;Dog;Female;1;1
Adoption;Cat;Female;1;1
Adoption;Dog;Female;1;1
Adoption;Cat;Male;1;1
Adoption;Cat;Female;1;1
Transfer;Dog;Male;1;0
Adoption;Dog;Female;1;0
Adoption;Dog;Female;1;0
Adoption;Cat;Female;1;1
Transfer;Dog;Female;1;0
Adoption;Dog;Female;1;0
Adoption;Cat;Female;1;1
Transfer;Cat;Male;1;1
Transfer;Dog;Female;1;1
Adoption;Dog;Male;1;1
Adoption;Cat;Female;1;1
Adoption;Dog;Male;1;0
Adoption;Dog;Male;1;0
Return_to_owner;Dog;Female;1;1
Transfer;Cat;Male;1;1
Adoption;Dog;Male;1;0
Return_to_owner;Dog;Female;0;1
Adoption;Dog;Male;1;1
Adoption;Dog;Female;1;1
Transfer;Cat;Male;1;0
Transfer;Dog;Male;1;0
Adoption;Cat;Male;1;1
Transfer;Dog;Male;0;1
Adoption;Dog;Female;1;1
Return_to_owner;Cat;Female;1;1
Transfer;Cat;Male;0;1
Transfer;Cat;Unknown;0;1
Transfer;Cat;Male;0;1
Adoption;Dog;Male;1;0
Transfer;Dog;Male;0;1
Adoption;Cat;Female;1;1
Transfer;Cat;Unknown;0;1
Transfer;Cat;Female;0;0
Adoption;Cat;Male;1;1
Adoption;Dog;Female;1;1
Adoption;Dog;Female;1;1
Transfer;Cat;Male;0;1
Transfer;Dog;Female;0;1
Transfer;Dog;Male;0;1
Transfer;Cat;Female;1;1
Return_to_owner;Cat;Female;0;1
Transfer;Cat;Female;0;1
Adoption;Dog;Male;1;0
Transfer;Dog;Male;0;1
Adoption;Dog;Female;1;1
Adoption;Cat;Female;1;1
Transfer;Dog;Male;0;1
Transfer;Cat;Male;0;1
Adoption;Dog;Female;1;0
Adoption;Cat;Female;1;1
Transfer;Cat;Female;0;1
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Female;1;0
Return_to_owner;Dog;Female;1;1
Adoption;Cat;Male;0;1
Return_to_owner;Dog;Male;0;1
Adoption;Dog;Male;1;0
Transfer;Cat;Unknown;0;1
Adoption;Dog;Female;1;1
Return_to_owner;Dog;Male;1;1
Transfer;Cat;Male;0;1
Adoption;Dog;Female;1;0
Transfer;Cat;Female;1;1
Transfer;Cat;Unknown;0;1
Transfer;Cat;Female;0;1
Transfer;Dog;Male;0;1
Return_to_owner;Dog;Male;1;1
Transfer;Cat;Female;1;1
Adoption;Dog;Female;1;1
Adoption;Cat;Male;1;1
Transfer;Dog;Male;0;1
Transfer;Dog;Female;1;1
Adoption;Dog;Male;1;1
Return_to_owner;Dog;Male;1;1
Transfer;Dog;Male;1;1
Transfer;Cat;Male;0;1
Transfer;Dog;Male;1;1
Adoption;Cat;Female;1;1
Transfer;Cat;Female;1;1
Transfer;Cat;Female;0;1
Transfer;Dog;Female;0;1
Transfer;Cat;Male;1;1
Adoption;Cat;Female;1;1
Transfer;Cat;Female;0;1
Adoption;Cat;Male;1;1
Adoption;Dog;Male;1;1
Transfer;Cat;Male;1;1
Return_to_owner;Dog;Male;0;1
Adoption;Dog;Female;1;1
Return_to_owner;Dog;Male;1;0
Adoption;Cat;Male;1;1
Euthanasia;Cat;Male;0;1
Adoption;Dog;Male;1;1
Return_to_owner;Dog;Female;1;0
Euthanasia;Dog;Male;0;1
Return_to_owner;Dog;Male;0;0
Adoption;Dog;Female;1;0
Transfer;Dog;Male;1;1
Transfer;Cat;Female;1;1
Return_to_owner;Cat;Male;1;0
Transfer;Dog;Female;1;1
Return_to_owner;Dog;Male;1;1
Transfer;Cat;Male;1;1
Adoption;Cat;Female;1;1
Adoption;Cat;Female;1;1
Adoption;Dog;Male;1;1
Transfer;Cat;Female;1;1
Adoption;Cat;Female;1;1
Return_to_owner;Dog;Female;1;1
Adoption;Dog;Female;1;1
Transfer;Cat;Unknown;0;1
Transfer;Dog;Female;1;1
Adoption;Cat;Male;1;1
Adoption;Cat;Female;1;1
Transfer;Cat;Female;0;1
Adoption;Dog;Female;1;1
Return_to_owner;Dog;Male;1;0
Transfer;Cat;Female;1;1
Transfer;Cat;Male;1;1
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Male;1;1
Adoption;Dog;Male;1;1
Adoption;Dog;Female;1;1
Adoption;Dog;Male;1;1
Transfer;Cat;Male;0;0
Adoption;Dog;Male;1;1
Adoption;Cat;Female;1;1
Transfer;Dog;Male;1;0
Transfer;Dog;Female;1;1
Transfer;Cat;Unknown;0;1
Adoption;Dog;Male;1;0
Adoption;Dog;Male;1;1
Transfer;Dog;Female;1;1
Euthanasia;Cat;Male;1;1
Transfer;Cat;Unknown;0;1
Transfer;Cat;Female;0;1
Transfer;Cat;Male;0;1
Return_to_owner;Dog;Female;1;1
Adoption;Dog;Female;1;1
Transfer;Cat;Female;0;1
Adoption;Dog;Male;1;0
Adoption;Dog;Male;1;1
Adoption;Cat;Female;1;1
Transfer;Dog;Unknown;0;1
Adoption;Cat;Male;1;1
Adoption;Cat;Male;1;1
Adoption;Cat;Male;1;1
Transfer;Cat;Female;1;1
Transfer;Cat;Male;1;1
Adoption;Dog;Male;1;1
Died;Cat;Female;1;1
Transfer;Cat;Female;0;1
Transfer;Cat;Male;1;1
Transfer;Dog;Female;0;1
Adoption;Dog;Female;1;1
Transfer;Dog;Female;1;1
Transfer;Dog;Male;1;0
Adoption;Cat;Female;1;1
Transfer;Dog;Female;1;0
Adoption;Dog;Male;1;1
Adoption;Dog;Male;1;1
Return_to_owner;Dog;Male;1;0
Adoption;Cat;Female;1;1
Adoption;Cat;Male;1;1
Transfer;Dog;Female;0;0
Adoption;Dog;Female;1;1
Transfer;Cat;Female;0;1
Adoption;Cat;Male;1;1
Adoption;Dog;Female;1;1
Euthanasia;Cat;Female;0;1
Return_to_owner;Dog;Male;0;0
Adoption;Cat;Female;1;1
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Female;1;1
Transfer;Cat;Male;0;1
Transfer;Cat;Unknown;0;1
Transfer;Cat;Female;0;1
Adoption;Dog;Male;1;1
Transfer;Cat;Female;0;1
Transfer;Cat;Female;0;1
Adoption;Dog;Male;1;0
Transfer;Cat;Female;0;1
Transfer;Dog;Male;1;1
Return_to_owner;Dog;Female;1;1
Transfer;Dog;Male;0;1
Transfer;Cat;Female;0;1
Return_to_owner;Cat;Female;1;1
Adoption;Dog;Male;1;0
Adoption;Dog;Male;1;1
Adoption;Dog;Male;1;0
Transfer;Cat;Male;1;1
Transfer;Dog;Male;1;0
Adoption;Dog;Female;1;0
Adoption;Dog;Female;1;1
Adoption;Dog;Female;1;0
Transfer;Dog;Male;1;1
Return_to_owner;Dog;Female;1;1
Adoption;Cat;Female;1;1
Adoption;Dog;Male;1;1
Transfer;Dog;Male;0;0
Return_to_owner;Dog;Male;1;1
Transfer;Cat;Male;0;1
Euthanasia;Cat;Male;0;1
Transfer;Dog;Male;0;1
Transfer;Cat;Unknown;0;1
Adoption;Cat;Female;0;1
Transfer;Dog;Male;1;1
Adoption;Cat;Male;1;1
Adoption;Cat;Female;1;1
Adoption;Dog;Female;1;0
Euthanasia;Cat;Female;1;1
Return_to_owner;Cat;Female;1;1
Adoption;Dog;Female;1;1
Return_to_owner;Dog;Male;1;1
Adoption;Cat;Male;1;1
Transfer;Cat;Female;1;1
Adoption;Cat;Male;1;1
Adoption;Cat;Male;1;0
Adoption;Cat;Female;1;1
Adoption;Dog;Female;1;1
Return_to_owner;Dog;Female;1;1
Transfer;Dog;Male;1;0
Return_to_owner;Dog;Male;0;1
Died;Cat;Female;0;1
Return_to_owner;Dog;Female;0;1
Adoption;Dog;Female;1;1
Adoption;Cat;Female;1;1
Transfer;Dog;Male;1;1
Adoption;Cat;Female;1;1
Transfer;Cat;Unknown;0;0
Return_to_owner;Dog;Male;0;1
Transfer;Dog;Female;0;1
Transfer;Dog;Female;1;1
Adoption;Dog;Male;1;0
Adoption;Dog;Male;1;0
Adoption;Cat;Female;1;1
Return_to_owner;Dog;Female;1;0
Adoption;Dog;Male;1;0
Adoption;Cat;Female;1;1
Adoption;Cat;Male;1;1
Transfer;Dog;Female;1;1
Adoption;Dog;Male;1;1
Transfer;Dog;Female;1;0
Adoption;Dog;Female;1;1
Transfer;Dog;Unknown;0;1
Transfer;Cat;Male;1;1
Adoption;Dog;Male;1;1
Transfer;Dog;Female;0;1
Adoption;Dog;Female;1;1
Transfer;Cat;Male;1;1
Adoption;Dog;Female;1;0
Transfer;Cat;Male;0;1
Adoption;Dog;Male;1;1
Transfer;Cat;Male;0;0
Adoption;Cat;Male;1;1
Adoption;Dog;Female;1;1
Transfer;Dog;Male;1;1
Transfer;Dog;Male;0;0
Transfer;Cat;Female;0;1
Adoption;Cat;Male;1;1
Transfer;Cat;Male;1;1
Euthanasia;Cat;Male;0;1
Adoption;Cat;Male;1;1
Adoption;Cat;Male;1;1
Return_to_owner;Cat;Male;1;1
Return_to_owner;Dog;Female;1;1
Return_to_owner;Dog;Male;1;0
Transfer;Cat;Female;0;1
Adoption;Dog;Male;0;1
Transfer;Cat;Male;0;1
Adoption;Cat;Male;1;1
Return_to_owner;Dog;Male;0;1
Adoption;Cat;Female;1;1
Return_to_owner;Dog;Male;1;0
Adoption;Cat;Female;1;1
Adoption;Dog;Female;1;1
Euthanasia;Cat;Male;0;1
Adoption;Cat;Female;1;1
Transfer;Dog;Male;0;1
Adoption;Cat;Male;1;1
Transfer;Cat;Female;0;1
Adoption;Dog;Male;1;0
Transfer;Dog;Female;0;1
Transfer;Cat;Unknown;0;1
Adoption;Dog;Male;1;1
Transfer;Dog;Male;0;1
Adoption;Cat;Male;1;1
Adoption;Cat;Female;1;1
Adoption;Cat;Male;1;1
Return_to_owner;Dog;Female;1;1
Died;Cat;Female;0;1
Transfer;Cat;Female;0;1
Adoption;Dog;Male;1;0
Return_to_owner;Cat;Female;1;1
Adoption;Dog;Female;1;0
Transfer;Cat;Male;0;1
Transfer;Dog;Male;1;1
Adoption;Dog;Male;1;1
Adoption;Dog;Female;1;1
Adoption;Cat;Female;1;1
Transfer;Cat;Male;0;1
Return_to_owner;Dog;Female;0;1
Return_to_owner;Dog;Female;1;1
Transfer;Cat;Unknown;0;1
Transfer;Cat;Female;0;1
Transfer;Dog;Female;0;1
Adoption;Dog;Male;1;1
Transfer;Cat;Female;1;1
Return_to_owner;Dog;Female;1;1
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Female;1;1
Transfer;Cat;Female;1;1
Adoption;Dog;Male;1;0
Transfer;Cat;Female;1;1
Euthanasia;Cat;Female;1;1
Euthanasia;Cat;Female;1;1
Transfer;Cat;Female;1;1
Adoption;Dog;Female;1;1
Adoption;Dog;Male;1;1
Adoption;Dog;Female;1;0
Transfer;Cat;Female;0;1
Transfer;Dog;Male;1;1
Adoption;Cat;Male;1;0
Adoption;Dog;Male;1;1
Adoption;Dog;Male;1;1
Transfer;Dog;Male;0;1
Transfer;Cat;Male;0;1
Euthanasia;Dog;Female;0;1
Transfer;Cat;Female;0;1
Adoption;Cat;Male;1;1
Return_to_owner;Dog;Male;1;1
Adoption;Dog;Male;1;1
Transfer;Dog;Female;1;0
Transfer;Cat;Female;1;0
Adoption;Cat;Male;1;1
Transfer;Dog;Male;1;1
Adoption;Cat;Male;1;1
Transfer;Cat;Unknown;0;1
Return_to_owner;Dog;Female;1;1
Adoption;Cat;Female;1;1
Adoption;Dog;Female;1;0
Transfer;Cat;Male;0;1
Transfer;Cat;Unknown;0;1
Transfer;Dog;Female;1;1
Adoption;Dog;Male;1;1
Transfer;Dog;Female;1;1
Return_to_owner;Dog;Female;1;1
Adoption;Dog;Female;0;1
Adoption;Cat;Male;1;1
Transfer;Dog;Female;0;1
Transfer;Dog;Male;1;1
Transfer;Dog;Male;0;1
Adoption;Dog;Male;1;0
Adoption;Dog;Male;1;1
Return_to_owner;Dog;Female;1;1
Adoption;Dog;Male;1;1
Adoption;Cat;Male;1;1
Return_to_owner;Dog;Male;1;1
Adoption;Cat;Female;1;1
Return_to_owner;Dog;Female;1;1
Transfer;Dog;Female;0;0
Adoption;Dog;Female;1;1
Adoption;Dog;Male;1;1
Adoption;Dog;Male;1;1
Adoption;Dog;Female;1;1
Died;Dog;Male;0;1
Transfer;Cat;Male;0;1
Return_to_owner;Cat;Female;1;1
Transfer;Cat;Female;1;1
Adoption;Cat;Female;1;1
Return_to_owner;Dog;Male;1;1
Adoption;Dog;Male;1;1
Transfer;Dog;Male;0;1
Transfer;Cat;Female;0;1
Transfer;Cat;Unknown;0;1
Transfer;Dog;Male;0;1
Transfer;Cat;Male;1;1
Adoption;Cat;Female;1;1
Adoption;Dog;Female;1;1
Transfer;Cat;Unknown;0;1
Adoption;Cat;Male;0;1
Return_to_owner;Dog;Male;0;0
Transfer;Cat;Female;1;1
Transfer;Cat;Unknown;0;1
Euthanasia;Dog;Male;0;0
Adoption;Dog;Female;1;0
Return_to_owner;Dog;Male;1;1
Return_to_owner;Dog;Male;1;1
Adoption;Cat;Male;1;1
Transfer;Dog;Female;0;0
Return_to_owner;Dog;Male;1;0
Transfer;Dog;Male;0;0
Transfer;Cat;Female;1;1
Transfer;Dog;Female;1;1
Euthanasia;Cat;Unknown;0;1
Return_to_owner;Dog;Male;1;0
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Male;1;1
Adoption;Dog;Female;1;1
Adoption;Dog;Male;1;1
Adoption;Dog;Female;1;0
Return_to_owner;Dog;Female;1;1
Adoption;Cat;Female;1;1
Transfer;Cat;Male;1;1
Transfer;Cat;Male;0;1
Return_to_owner;Cat;Female;1;1
Adoption;Dog;Male;1;1
Transfer;Dog;Male;1;0
Adoption;Dog;Male;1;1
Return_to_owner;Dog;Female;0;1
Transfer;Dog;Male;0;1
Adoption;Dog;Female;1;0
Adoption;Cat;Female;1;1
Transfer;Cat;Female;0;1
Adoption;Dog;Female;1;1
Adoption;Dog;Female;1;1
Adoption;Dog;Male;1;1
Return_to_owner;Dog;Male;1;1
Return_to_owner;Cat;Male;1;1
Adoption;Dog;Female;1;1
Adoption;Dog;Male;1;1
Adoption;Cat;Male;1;1
Adoption;Cat;Male;1;1
Transfer;Dog;Female;1;1
Return_to_owner;Dog;Female;1;1
Transfer;Dog;Female;0;1
Adoption;Cat;Male;1;1
Transfer;Dog;Female;1;1
Died;Cat;Female;0;1
Transfer;Dog;Female;0;1
Return_to_owner;Dog;Female;1;0
Adoption;Cat;Female;1;1
Transfer;Dog;Male;0;1
Transfer;Dog;Male;0;0
Transfer;Cat;Female;0;1
Transfer;Dog;Male;1;0
Transfer;Dog;Male;1;0
Adoption;Dog;Female;1;1
Adoption;Dog;Male;1;1
Transfer;Cat;Female;0;1
Transfer;Cat;Male;0;1
Adoption;Dog;Male;1;1
Transfer;Cat;Female;0;1
Transfer;Cat;Female;0;1
Transfer;Cat;Female;0;1
Adoption;Dog;Male;1;1
Return_to_owner;Dog;Male;1;1
Adoption;Dog;Male;1;1
Transfer;Cat;Female;0;1
Adoption;Dog;Male;1;1
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Male;1;1
Transfer;Dog;Male;0;1
Adoption;Dog;Female;1;1
Adoption;Dog;Male;1;0
Transfer;Cat;Male;0;1
Adoption;Dog;Female;1;1
Adoption;Cat;Female;1;1
Adoption;Dog;Male;1;0
Adoption;Cat;Female;1;1
Adoption;Dog;Male;1;0
Euthanasia;Dog;Female;0;1
Adoption;Dog;Female;1;1
Transfer;Cat;Female;0;1
Adoption;Cat;Male;1;1
Adoption;Dog;Female;1;1
Euthanasia;Cat;Female;1;1
Transfer;Cat;Male;0;1
Transfer;Dog;Female;1;0
Adoption;Cat;Male;1;1
Transfer;Dog;Male;0;0
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Female;1;1
Adoption;Dog;Female;1;1
Transfer;Cat;Male;1;1
Return_to_owner;Dog;Female;0;1
Adoption;Dog;Male;1;1
Adoption;Cat;Male;1;1
Transfer;Dog;Male;1;1
Return_to_owner;Dog;Female;1;1
Transfer;Cat;Female;1;1
Adoption;Cat;Male;1;1
Adoption;Cat;Female;1;1
Adoption;Dog;Female;1;1
Return_to_owner;Dog;Male;1;0
Return_to_owner;Dog;Female;1;0
Transfer;Dog;Male;0;0
Adoption;Dog;Female;1;1
Transfer;Cat;Female;0;1
Transfer;Dog;Female;1;1
Adoption;Dog;Male;1;1
Adoption;Dog;Female;1;1
Adoption;Cat;Female;1;1
Died;Cat;Male;0;1
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Female;1;1
Transfer;Cat;Female;0;1
Adoption;Dog;Male;1;1
Transfer;Cat;Female;1;1
Adoption;Dog;Male;1;0
Transfer;Dog;Male;0;1
Transfer;Dog;Male;1;1
Return_to_owner;Dog;Male;1;1
Euthanasia;Dog;Male;0;1
Return_to_owner;Dog;Male;0;1
Transfer;Dog;Female;0;1
Adoption;Dog;Male;1;0
Transfer;Cat;Male;0;1
Transfer;Cat;Male;0;1
Adoption;Cat;Male;1;1
Transfer;Dog;Male;1;1
Return_to_owner;Dog;Male;0;1
Return_to_owner;Cat;Unknown;0;1
Return_to_owner;Dog;Male;0;0
Return_to_owner;Cat;Female;1;1
Transfer;Cat;Female;1;1
Transfer;Dog;Male;1;0
Adoption;Dog;Male;1;1
Adoption;Cat;Male;1;1
Euthanasia;Dog;Female;1;1
Adoption;Cat;Male;1;1
Transfer;Cat;Male;0;1
Return_to_owner;Dog;Female;1;0
Adoption;Cat;Female;1;1
Transfer;Dog;Male;1;1
Adoption;Dog;Male;1;0
Return_to_owner;Dog;Male;1;1
Adoption;Dog;Female;1;1
Transfer;Cat;Female;0;1
Died;Cat;Female;1;1
Transfer;Cat;Female;0;1
Transfer;Cat;Unknown;0;1
Transfer;Cat;Unknown;0;1
Euthanasia;Cat;Male;1;1
Return_to_owner;Dog;Male;1;1
Adoption;Dog;Female;1;0
Return_to_owner;Dog;Male;1;1
Adoption;Cat;Male;1;1
Transfer;Cat;Unknown;0;1
Transfer;Cat;Male;1;1
Adoption;Dog;Female;1;1
Adoption;Cat;Male;1;1
Adoption;Cat;Male;1;1
Transfer;Cat;Female;1;1
Adoption;Dog;Male;0;0
Return_to_owner;Dog;Female;0;1
Transfer;Dog;Female;1;0
Transfer;Cat;Unknown;0;1
Transfer;Dog;Male;1;1
Transfer;Cat;Male;0;1
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Male;0;1
Return_to_owner;Dog;Male;1;1
Return_to_owner;Dog;Male;0;1
Transfer;Cat;Unknown;0;1
Adoption;Cat;Male;0;1
Transfer;Cat;Female;0;1
Adoption;Dog;Female;1;1
Adoption;Dog;Male;1;1
Adoption;Cat;Male;1;1
Adoption;Dog;Female;1;0
Return_to_owner;Cat;Male;1;1
Died;Dog;Female;0;1
Return_to_owner;Dog;Male;1;1
Transfer;Cat;Male;0;1
Transfer;Cat;Female;1;1
Return_to_owner;Dog;Female;1;1
Return_to_owner;Dog;Male;1;1
Transfer;Cat;Male;1;1
Adoption;Dog;Male;1;1
Adoption;Dog;Female;1;0
Return_to_owner;Dog;Male;1;1
Adoption;Cat;Male;1;1
Adoption;Dog;Female;1;1
Adoption;Dog;Male;1;1
Return_to_owner;Dog;Female;0;1
Adoption;Cat;Female;1;1
Return_to_owner;Dog;Male;1;1
Adoption;Cat;Male;1;0
Adoption;Cat;Male;1;1
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Female;1;1
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Male;1;1
Transfer;Cat;Male;1;1
Transfer;Dog;Female;1;1
Transfer;Cat;Male;1;1
Transfer;Cat;Male;1;1
Adoption;Cat;Male;1;1
Adoption;Dog;Female;1;0
Transfer;Dog;Male;1;1
Euthanasia;Cat;Female;0;1
Return_to_owner;Dog;Male;1;1
Return_to_owner;Dog;Male;1;1
Transfer;Dog;Male;0;0
Return_to_owner;Dog;Male;1;0
Adoption;Cat;Male;1;1
Transfer;Cat;Male;0;1
Adoption;Cat;Male;1;0
Transfer;Dog;Female;1;1
Adoption;Cat;Male;1;1
Adoption;Dog;Male;1;1
Transfer;Cat;Male;0;1
Adoption;Cat;Female;1;1
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Female;1;1
Adoption;Dog;Male;1;1
Transfer;Dog;Male;1;0
Transfer;Dog;Male;1;0
Euthanasia;Dog;Male;1;1
Adoption;Dog;Male;1;1
Transfer;Dog;Male;1;1
Adoption;Cat;Male;1;1
Transfer;Dog;Male;0;0
Transfer;Dog;Female;0;1
Return_to_owner;Dog;Female;1;0
Return_to_owner;Dog;Male;1;1
Adoption;Dog;Male;1;1
Transfer;Cat;Female;1;1
Adoption;Dog;Male;1;0
Transfer;Dog;Female;0;0
Euthanasia;Cat;Unknown;0;1
Adoption;Dog;Male;1;1
Transfer;Cat;Female;0;1
Adoption;Dog;Female;0;0
Transfer;Dog;Female;0;1
Adoption;Cat;Female;1;1
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Female;1;1
Adoption;Dog;Male;1;1
Transfer;Dog;Male;1;1
Adoption;Dog;Male;1;1
Return_to_owner;Dog;Female;1;1
Transfer;Cat;Female;1;1
Adoption;Dog;Female;1;0
Adoption;Dog;Female;1;1
Adoption;Cat;Female;1;1
Transfer;Cat;Male;0;1
Adoption;Cat;Male;1;1
Transfer;Dog;Female;1;0
Return_to_owner;Dog;Male;1;1
Transfer;Cat;Female;0;1
Died;Cat;Female;0;1
Adoption;Dog;Male;1;0
Adoption;Dog;Male;1;1
Adoption;Dog;Female;1;1
Adoption;Dog;Female;1;0
Adoption;Dog;Male;1;1
Adoption;Dog;Male;1;1
Adoption;Cat;Male;1;1
Return_to_owner;Dog;Male;1;0
Transfer;Dog;Male;1;0
Adoption;Dog;Male;1;0
Adoption;Dog;Male;1;1
Adoption;Dog;Male;1;1
Transfer;Cat;Unknown;0;1
Transfer;Dog;Female;0;0
Transfer;Cat;Male;0;1
Adoption;Cat;Female;1;1
Adoption;Dog;Male;1;1
Return_to_owner;Dog;Male;1;1
Adoption;Dog;Female;1;1
Transfer;Dog;Male;0;1
Transfer;Dog;Female;1;1
Transfer;Cat;Female;1;1
Transfer;Dog;Male;1;1
Return_to_owner;Dog;Male;0;1
Adoption;Dog;Female;1;1
Adoption;Cat;Male;1;1
Transfer;Cat;Female;0;1
Transfer;Cat;Female;1;1
Return_to_owner;Dog;Male;1;1
Adoption;Cat;Male;1;1
Died;Cat;Male;0;1
Died;Cat;Female;0;1
Transfer;Cat;Male;0;1
Transfer;Cat;Female;0;1
Transfer;Dog;Male;0;1
Adoption;Cat;Female;1;1
Euthanasia;Dog;Male;0;1
Adoption;Dog;Male;1;1
Euthanasia;Cat;Female;0;1
Return_to_owner;Dog;Male;1;1
Transfer;Dog;Male;1;1
Transfer;Cat;Female;0;1
Return_to_owner;Dog;Female;1;1
Return_to_owner;Cat;Male;1;1
Adoption;Cat;Male;1;1
Return_to_owner;Dog;Female;0;1
Return_to_owner;Dog;Female;1;0
